created_at,tweet,user_location,user_timezone,geo,place_coordinates
"Sun Sep 03 05:23:13 +0000 2017","@curlyheckler  with that said..I believe its timing that must be perfect &amp; I believe our creator realized this is the PERFECT time 4 Trump","New York, New York ","Atlantic Time (Canada)",,,
"Sun Sep 03 05:23:13 +0000 2017","RT @AynRandPaulRyan: Does this video qualify for the ""Trump has dementia"" hall of fame moment?
""Have a great time, everybody.""

At a she… ","Near Toulouse, France",Amsterdam,,,
"Sun Sep 03 05:23:13 +0000 2017","Trump weighs pulling out of free trade deal with South Korea https://t.co/fq6V5REL68",,"Pacific Time (US & Canada)",,,
"Sun Sep 03 05:23:13 +0000 2017","RT @BillBishopKHOU: I've had with the insults.  Let's see him stand in E. coli water reporting for hours like the media does. #khou https:/…","512 ","Central Time (US & Canada)",,,
"Sun Sep 03 05:23:13 +0000 2017","RT @Rosie: no business dealings in russia #lyingsackofshit https://t.co/nmyB6Ps82n","Seattle, WA",,,,
"Sun Sep 03 05:23:13 +0000 2017","Trump winks at for-profit college fraudsters, hires industry vet to run key oversight team https://t.co/xoWNnn9zXL via @thinkprogress",,,,,
"Sun Sep 03 05:23:13 +0000 2017","RT @briaatortillaa: Idek how I could ever explain 2017 to someone https://t.co/L7f6yRpQUC","In the Potter's Hands...",Dublin,,,
"Sun Sep 03 05:23:13 +0000 2017","RT @briaatortillaa: Idek how I could ever explain 2017 to someone https://t.co/L7f6yRpQUC",Texas,"Mountain Time (US & Canada)",,,
"Sun Sep 03 05:23:13 +0000 2017","RT @amandablount2: Something about this photo makes me believe Trump will never call him and thank him for hard work. https://t.co/QpK1aSru…",,,,,
"Sun Sep 03 05:23:13 +0000 2017","RT @kylegriffin1: Trump to nominate ex-coal exec. who fought Obama-era safety regulations as the nation's top mine safety official. https:/…","Rapid City, SD","Mountain Time (US & Canada)",,,
"Sun Sep 03 05:23:13 +0000 2017","RT @AndyBCampbell: We were literally on the helicopter with them https://t.co/wc7BMZg6gc","Ashford Middlesex ",,,,
"Sun Sep 03 05:23:14 +0000 2017","RT @TopherSpiro: Trump GUTTED funding for ACA advertising—and SLASHED the open enrollment period. So he *really* doesn't want you to… ",,,,,
"Sun Sep 03 05:23:14 +0000 2017","RT @TopherSpiro: Trump GUTTED funding for ACA advertising—and SLASHED the open enrollment period. So he *really* doesn't want you to… ",Zootopia,"Central Time (US & Canada)",,,
"Sun Sep 03 05:23:14 +0000 2017","RT @PrincessBravato: He's so disgusting does he not even get the basics of how our country is? https://t.co/rkZFzHUlMB","United States",,,,
"Sun Sep 03 05:23:14 +0000 2017","RT @TeaPainUSA: Pence is part of the cover-up.  A phony ""Christian"" can't pray to Jesus with a Judas mouth!  He's goin' down too! https://t…","Georgia, USA",,,,
"Sun Sep 03 05:23:14 +0000 2017","RT @jimsciutto: POTUS Aug 22 Phoenix: ""I respect the fact that he is starting to respect us,"" Trump said of North Korean leader Kim… ","Manhattan, NY","Eastern Time (US & Canada)",,,
"Sun Sep 03 05:23:14 +0000 2017","RT @tribelaw: Tone deaf barely scratches the surface. A badly programmed bot could do better. https://t.co/PwOl1saeLt","South Carolina","Pacific Time (US & Canada)",,,
"Sun Sep 03 05:23:14 +0000 2017","RT @JoyAnnReid: It just keeps getting worse. https://t.co/ypZOK8GtDs","Phoenix, AZ",,,,
"Sun Sep 03 05:23:14 +0000 2017","RT @Elizasoul80: I didn't need to see Obama's birth certificate to believe he's American, but I'll definitely need to see Trump's hurricane…","CLE ","Central Time (US & Canada)",,,
"Sun Sep 03 05:23:14 +0000 2017","RT @lfkraus: #Arkema 
#HurricaneHarvey

@GOP will always put profits over people

#VoteBlue to protect you, your family &amp; loved… ","Colorado, USA","Pacific Time (US & Canada)",,,
"Sun Sep 03 05:23:14 +0000 2017","RT @SATXRepublican: To vett look who they follow! Amount of tweets! Someone with 14000 followers but only 450 tweets huge flag! I will… ","United States of MY AMERICA",,,,
"Sun Sep 03 05:23:14 +0000 2017","RT @womensmarch: BREAKING: The White House says Trump's #DACA decision will be announced on Tuesday.

You know the drill: STAY LOUD.

#Defe…","United States",,,,
"Sun Sep 03 05:23:14 +0000 2017","RT @Kim585: #TexasStrong #LouisianaStrong #HoustonStrong Please help people who've lost everything NOT lose their health care,… ","Miami, Florida","Eastern Time (US & Canada)",,,
"Sun Sep 03 05:23:14 +0000 2017","RT @JoyAnnReid: It just keeps getting worse. https://t.co/ypZOK8GtDs","Mountain View, CA","Pacific Time (US & Canada)",,,
"Sun Sep 03 05:23:14 +0000 2017","RT @McFaul: Insane.  ""Trump preparing withdrawal from South Korea trade deal"" https://t.co/8y86ZqpRuk",,"Pacific Time (US & Canada)",,,
"Sun Sep 03 05:23:14 +0000 2017","RT @showupforthis: Kid With Blocks: ""Yeah, but this is TRUMP. My mom says that after he builds walls, WE have to tear them all down.""

So.…","Lexington, KY","Pacific Time (US & Canada)",,,
"Sun Sep 03 05:23:14 +0000 2017","RT @ColumbiaBugle: @realDonaldTrump President Trump meeting a young Jedi in Houston. https://t.co/3ff9FiwBIq",USA,"Eastern Time (US & Canada)",,,
"Sun Sep 03 05:23:14 +0000 2017","😂 maybe he was tryin to cheer them up, but yeah... 😂 https://t.co/daI3OkVWnC","Shallow town",,,,
"Sun Sep 03 05:23:15 +0000 2017","RT @Impeach_D_Trump: Fun Fact: DACA requires participants all have spotless records, so Trump using the excuse of crime and terrorism is mu…","Your Mother's Vagina, USA",Arizona,,,
"Sun Sep 03 05:23:15 +0000 2017","@billplunkettocr Well, Donald Trump is president, so yes.","United States","Pacific Time (US & Canada)",,,
"Sun Sep 03 05:23:15 +0000 2017","@_LaFarfalla @DownUnderVoice @crusher614 Nice try though 🤗 https://t.co/CK7cLkXkUH","Wisconsin, USA","Central Time (US & Canada)",,,
"Sun Sep 03 05:23:15 +0000 2017","RT @riotwomennn: Trump: ""Economy does better under Dems than Republicans.""  Why? Tax cuts to 1%ers do not = jobs or wage increases https://…","New Jersey, USA","Eastern Time (US & Canada)",,,
"Sun Sep 03 05:23:15 +0000 2017","RT @TruthinGov2016: Deep State should know they're up against the Supernatural with the prayer warriors praying for POTUS. Out gunned a… ","Dallas, TX","Central Time (US & Canada)",,,
"Sun Sep 03 05:23:15 +0000 2017","RT @aravosis: So the Trump people are trying to scare people away from shelters in Texas. https://t.co/gSk4hXfglo","Amsterdam, The Netherlands",Amsterdam,,,
"Sun Sep 03 05:23:15 +0000 2017","RT @trcfwtt: Trump- ""see those beautiful clouds the fake media refused to report?"" https://t.co/osk5Esp9q8",,Mazatlan,,,
"Sun Sep 03 05:23:15 +0000 2017","RT @aravosis: So the Trump people are trying to scare people away from shelters in Texas. https://t.co/gSk4hXfglo","💫💫MilkyWay,United States💫💫",,,,
"Sun Sep 03 05:23:15 +0000 2017","RT @JoyAnnReid: It just keeps getting worse. https://t.co/ypZOK8GtDs",,"Pacific Time (US & Canada)",,,
"Sun Sep 03 05:23:15 +0000 2017","RT @lafm: Trump pide a Santos que haga ""todo lo posible"" para eliminar el narcotráfico https://t.co/pr3oXrPxI8 #LAFM",,,,,
"Sun Sep 03 05:23:15 +0000 2017","@DavidOAtkins @BadASSSery Cash in hand. Trump cheats everyone equally. No discrimination there. In it for all he can get. #GodSpeedMueller","United States",,,,
"Sun Sep 03 05:23:15 +0000 2017","RT @skinskinny: Dear Trump, 'Many sides' didn't start the violence White Supremacists did!",,"Pacific Time (US & Canada)",,,
"Sun Sep 03 05:23:15 +0000 2017","RT @lindahill94: They Weren’t Trump Fans Before. But These Hurricane Survivors Posed for a Selfie With a Very Different Opinion… ","Trump's Dixieland",,,,
"Sun Sep 03 05:23:15 +0000 2017","RT @RealAlexJones: The police state is everywhere but it's not because of Trump, as #FakeNews Michael would like you to believe -
 https://…","California, USA",,,,
"Sun Sep 03 05:23:15 +0000 2017","RT @JoyAnnReid: It just keeps getting worse. https://t.co/ypZOK8GtDs",,,,,
"Sun Sep 03 05:23:15 +0000 2017","RT @SteezusChr1st: that boy on the top right corner look like syndrome from the incredibles https://t.co/71XYjQe0f2","konoha 🏈",,,,
"Sun Sep 03 05:23:16 +0000 2017","RT @AndyBCampbell: We were literally on the helicopter with them https://t.co/wc7BMZg6gc",Wisconsin,"Eastern Time (US & Canada)",,,
"Sun Sep 03 05:23:16 +0000 2017","RT @kylegriffin1: Sanders still hasn't found out if Trump's $1MIL donation to Harvey victims will be a personal donation or come from… "," SAN MARCOS, TEXAS","Central Time (US & Canada)",,,
"Sun Sep 03 05:23:16 +0000 2017","RT @perlmutations: ...saying, ""it has come to our attention that when the President pledges money, people actually think he's serious!"" htt…","New England","Eastern Time (US & Canada)",,,
"Sun Sep 03 05:23:16 +0000 2017","RT @scottsantens: NO! No. No no no no no. NOOOOOOOOO! Enough is enough. Keep your goddamn tiny hands off NASA.… ",,,,,
"Sun Sep 03 05:23:16 +0000 2017","RT @olgaNYC1211: While destructive @realDonaldTrump wants to withdraw from the South Korean trade deal NK tests the strongest nuke t… ",minnesota,,,,
"Sun Sep 03 05:23:16 +0000 2017","RT @ColumbiaBugle: President Trump putting America First. #MAGA https://t.co/MWuyrWTrCE","Oklahoma, USA  born in 1958",,,,
"Sun Sep 03 05:23:16 +0000 2017","RT @OfficialJoelF: YG brought out Donald Trump lookalike @ the Miami show tonight: ""I'm going to grab so many pussies tonight, it's un… ","In my space in my area ",,,,
"Sun Sep 03 05:23:16 +0000 2017","RT @theblowout: trump promising $5 million for president obama's birth certificate but only $1 million to hurricane victims is as on-brand…","Nowhere Land","Atlantic Time (Canada)",,,
"Sun Sep 03 05:23:16 +0000 2017","RT @TeaPainUSA: Pence is part of the cover-up.  A phony ""Christian"" can't pray to Jesus with a Judas mouth!  He's goin' down too! https://t…","Missouri, USA","Central Time (US & Canada)",,,
"Sun Sep 03 05:23:16 +0000 2017","RT @southern4MAGA: #WINNING #MAGA 🇺🇸Comparison Between Presidents Trump and Obama-First 7 Months-Massive Success vs. Abysmal Failure https:…","Arizona, USA",,,,
"Sun Sep 03 05:23:16 +0000 2017","RT @justin_fenton: ""I hear a heart surgeon just saved someone the media wouldnt even try to operate on"" https://t.co/GFrChdutt3",,"Eastern Time (US & Canada)",,,
"Sun Sep 03 05:23:16 +0000 2017","RT @Kris_Sacrebleu: Fuck this day, fuck it to hell https://t.co/8oymfsC75U","Wildomar California",Hawaii,,,
"Sun Sep 03 05:23:17 +0000 2017","RT @Reuters: U.S. President Trump discusses North Korea with Japan's Abe https://t.co/eBmp1jrbv1 https://t.co/auP9t0UobZ",,,,,
"Sun Sep 03 05:23:16 +0000 2017","RT @HuffPost: Matt Damon reveals the vain reason behind Trump's movie cameos https://t.co/TeQjp01AcF https://t.co/RC8XnGklq8",USA,,,,
"Sun Sep 03 05:23:17 +0000 2017","RT @MsRock4Ever: Primarily because he IS an abuser! https://t.co/kmDIEGbsRa",Midwest,,,,
"Sun Sep 03 05:23:17 +0000 2017","RT @benwikler: Need help signing up for ACA coverage? Open enrollment is Nov 1-Dec 15. RT if you don't want Trump's sabotage to wo… ","Virginia, USA",,,,
"Sun Sep 03 05:23:17 +0000 2017","RT @TalbertSwan: @realDonaldTrump Dear LORD deliver us from EVIL (#Trump) Remove this thorn in the flesh so America can begin to ""heel""",,,,,
"Sun Sep 03 05:23:17 +0000 2017","RT @resisterhood: Today's my birthday, and I just want 2 things: 

1. No more ""Trump pivot"" takes ever
2. Donations to pour into these Hous…","Long Beach, NY",,,,
"Sun Sep 03 05:23:17 +0000 2017","RT @Marmel: ""Be safe?""
""Our hearts are with you?""
""You're in good hands?""
""America stands with you?""
NOPE.
Trump went with: https://t.co/6j…",Melbourne,,,,
"Sun Sep 03 05:23:17 +0000 2017","Trump easing off support for Luther Strange in Alabama race https://t.co/5sWwml137I",,"Eastern Time (US & Canada)",,,
"Sun Sep 03 05:23:17 +0000 2017","RT @HistoryInMeme: ""Mister President, the news is saying you shouldn't look directly into the sun"" 
""Who's saying it"" 
""CNN""
Trump: https:/…","DM Tweet Suggestions ","Central Time (US & Canada)",,,
"Sun Sep 03 05:23:17 +0000 2017","RT @TeaPainUSA: Trump's no match for the world's dictators.  He's nothin' but a tator-less dic.",,,,,
"Sun Sep 03 05:23:17 +0000 2017","RT @TopherSpiro: Trump GUTTED funding for ACA advertising—and SLASHED the open enrollment period. So he *really* doesn't want you to… ","Shogun of Harlem wherever I be","Eastern Time (US & Canada)",,,
"Sun Sep 03 05:23:17 +0000 2017","RT @PARISDENNARD: Images that must make so many Liberals &amp; Trump haters so upset. Real people appreciating our @FLOTUS &amp; @POTUS on th… ",,,,,
"Sun Sep 03 05:23:17 +0000 2017","@W7VOA @POTUS ""Trump is awake and tweeting (but not about DPRK)""
Maybe that's a *good* thing.",,"Pacific Time (US & Canada)",,,
"Sun Sep 03 05:23:17 +0000 2017","@FoxNews Trump plans to freeze DACA
https://t.co/a5TOx5Wg0p",,,,,
"Sun Sep 03 05:23:17 +0000 2017","David Gura on Twitter: ""President Trump, per the pooler: ""I hear the Coast Guar… https://t.co/JRbbU7J4C5, see more https://t.co/f8J6zIGV5x","Houston, Texas","Central Time (US & Canada)",,,
"Sun Sep 03 05:23:17 +0000 2017","RT @PrisonPlanet: The left is losing its shit over these pics of happy black people asking for Trump selfies.

It would be a shame if… ","United States","Pacific Time (US & Canada)",,,
"Sun Sep 03 05:23:17 +0000 2017","RT @PrisonPlanet: The left is losing its shit over these pics of happy black people asking for Trump selfies.

It would be a shame if… ",,"Pacific Time (US & Canada)",,,
"Sun Sep 03 05:23:17 +0000 2017","RT @olgaNYC1211: While destructive @realDonaldTrump wants to withdraw from the South Korean trade deal NK tests the strongest nuke t… ","Texas, USA","Central Time (US & Canada)",,,
"Sun Sep 03 05:23:17 +0000 2017","RT @Susan_Hennessey: What's that word for saying something you know is false for the purpose of deceiving the American public...? https://t…","Der Fuhrerbunker in hell",,,,
"Sun Sep 03 05:23:17 +0000 2017","RT @GartrellLinda: WE ARE A MOVEMENT!
Trump supporters are not forgotten any more. 
Our President fights daily against BOTH corrupt pa… ","Kansas, USA",,,,
"Sun Sep 03 05:23:17 +0000 2017","RT @jalbus: ""he put two semi-intelligible sentences together."" https://t.co/zogEZ2hoJI","Milly, duh","Central Time (US & Canada)",,,
"Sun Sep 03 05:23:17 +0000 2017","RT @Impeach_D_Trump: I'm sick and tired of everyone making fun of the size of Trump's hands. We should all be bigger than that.
So should D…","New York,NY",Hawaii,,,
"Sun Sep 03 05:23:18 +0000 2017","RT @sjredmond: Kellyanne Conway says Trump's humility isn't seen by the media. If anyone has seen Trump's humility please dial 1-800-MISSING",,"Central Time (US & Canada)",,,
"Sun Sep 03 05:23:18 +0000 2017","RT @thebradfordfile: TIMMY: Have you ever thought about Kate Steinle? Someone ""came out of the shadows"" and ended her life w a bullet. Y… ","Proud Deplorable Podunkian",,,,
"Sun Sep 03 05:23:18 +0000 2017","Byron York: Standoff brews between Senate, FBI over Trump dossier https://t.co/lS1LfIwscV via @dcexaminer",,"Pacific Time (US & Canada)",,,
"Sun Sep 03 05:23:18 +0000 2017","RT @daveanthony: Imagine having the political weapon of Nazi sympathizer to use against Trump and the right.  And you focus on Antifa and b…",,,,,
"Sun Sep 03 05:23:18 +0000 2017","RT @JoyAnnReid: It just keeps getting worse. https://t.co/ypZOK8GtDs","California, USA",,,,
"Sun Sep 03 05:23:17 +0000 2017","John McCain flies to Italy to bad mouth President Trump - https://t.co/c1XLDwmZ7r https://t.co/9oMnsURoLP","
",Athens,,,
"Sun Sep 03 05:23:18 +0000 2017","It's nice to have a Commander in Chief that appreciates our military again.  One more thing the MSM can despise Pre… https://t.co/vDDxIQ7l3p",Ohio,"Eastern Time (US & Canada)",,,
"Sun Sep 03 05:23:18 +0000 2017","RT @JacobAWohl: @realDonaldTrump President Trump is bringing back Judeo-Christian Values!",,,,,
"Sun Sep 03 05:23:18 +0000 2017","RT @OccupyDemocrats: News For #TheResistance: The Justice Department Just Shot Down Trump’s Biggest Obama Lie https://t.co/tS7JCbjRCC","Bangkok, Thailand",,,,
"Sun Sep 03 05:23:18 +0000 2017","RT @ProudResister: Last year Trump was calling election rigged as he was rigging it. Now he is calling justice system rigged as he is cover…","New England,  USA",,,,
"Sun Sep 03 05:23:18 +0000 2017","RT @MarkDice: President Trump in Houston. https://t.co/drxLHvfi5U","New York","Eastern Time (US & Canada)",,,
"Sun Sep 03 05:23:18 +0000 2017","Trump Says “We Love DREAMers,” As Decision On Their Fate Expected On Tuesday https://t.co/7Gnn9gTO97… https://t.co/G6MA4UvSyF",,"Pacific Time (US & Canada)",,,
"Sun Sep 03 05:23:18 +0000 2017","RT @HistoryInMeme: ""Mister President, the news is saying you shouldn't look directly into the sun"" 
""Who's saying it"" 
""CNN""
Trump: https:/…",,"Pacific Time (US & Canada)",,,
"Sun Sep 03 05:23:18 +0000 2017","RT @CBSNews: WATCH: Pres. Trump helps load trucks with supplies while meeting with Harvey volunteers in Houston… ",,"Pacific Time (US & Canada)",,,
"Sun Sep 03 05:23:18 +0000 2017","RT @LiberalResist: Eric Trump Just Bragged Of His Dad's Harvey ""Donation"" And It Quickly Backfired https://t.co/oYxdAFxMuH https://t.co/LUB…","Washington, DC","Pacific Time (US & Canada)",,,
"Sun Sep 03 05:23:18 +0000 2017","RT @ZayWills: Worst thing in the world is a black person who hates black people. https://t.co/AsBGsH7hv1","5'7.5 - 16 - east coast -virgo",,,,
"Sun Sep 03 05:23:18 +0000 2017","Top story: David Gura on Twitter: ""President Trump, per the pooler: ""I hear the… https://t.co/VDsHbcxNnk, see more https://t.co/tM4xOflfq1",USA,"Eastern Time (US & Canada)",,,
"Sun Sep 03 05:23:18 +0000 2017","RT @callmedime: white people ugly as hell bro 😂😂 https://t.co/vxyFk20jxC","Houston, TX","Central Time (US & Canada)",,,
"Sun Sep 03 05:23:18 +0000 2017","RT @4ever2runval96: MSNBC REPORTER SHOCKED After Leftists Call For His Firing For Pointing Out Trump’s Genuine Love..  https://t.co/5uPa3Yy…",,,,,
"Sun Sep 03 05:23:18 +0000 2017","Trump mulls pull-out of S Korea trade deal against counsel of top advisers https://t.co/DriiPMkkpE","United States","Pacific Time (US & Canada)",,,
"Sun Sep 03 05:23:18 +0000 2017","RT @WardDPatrick: As he puts on plastic gloves to serve food at NRG Stadium...President Trump turns to press and says: ""My hands are… ",Arizona,Arizona,,,
"Sun Sep 03 05:23:18 +0000 2017","RT @ABC: Dinosaur suit-wearing protesters march on Washington to protest Pres. Trump’s plan to slash the budget for national… ","Washington, USA",,,,
